id,date_posted,district,okrug,lat,lon,total_area,living_area,kitchen_area,rooms,floor,total_floors,building_year,building_type,ceiling_height,has_balcony,renovation,metro_station,metro_line,metro_distance_min,metro_distance_type,to_center_km,price_rub,price_per_sqm,mortgage_rate_at_listing,seller_type
S000023,2021-12-27,Orekhovo-Borisovo Severnoye,YuAO,55.62614,37.73892,53.1,36.6,6.9,1,2,9,2018,monolith,3.0,False,cosmetic,Tverskaya,Zamoskvoretskaya,75,transport,16.02,7408000,139600,11.0,agency
S000024,2025-07-21,Pervomayskoye,TAO,55.46429,37.08097,62.8,41.0,9.8,1,8,12,2010,modern_panel,2.7,True,cosmetic,Dubrovka,Lyublinsko-Dmitrovskaya,195,transport,46.76,3199000,50900,19.5,agency
S000025,2021-10-18,Kuntsevo,ZAO,55.73136,37.45077,85.6,59.9,10.8,3,11,17,2002,modern_panel,2.5,True,no_renovation,Fili,Filyovskaya,25,transport,10.93,15969000,186500,11.0,owner
S000026,2020-12-27,Yuzhnoye Butovo,YuZAO,55.54417,37.57136,54.6,32.0,6.0,2,1,5,2024,modern_panel,2.8,True,euro,Tyoply Stan,Kaluzhsko-Rizhskaya,43,transport,23.53,6455000,118200,6.75,owner
S000027,2024-08-24,Khoroshyovo-Mnyovniki,SZAO,55.77074,37.46339,47.1,30.9,13.8,1,9,17,1936,stalin,3.0,True,no_renovation,Shchukinskaya,Tagansko-Krasnopresnenskaya,22,transport,10.02,13089000,277700,18.5,agency
S000028,2024-01-10,Marfino,SVAO,55.86541,37.62639,67.9,47.0,10.1,2,10,17,1951,stalin,3.0,True,cosmetic,Vystavochnaya,Filyovskaya,46,transport,12.4,13841000,203900,18.5,owner
S000029,2022-09-15,Lomonosovsky,YuZAO,55.70527,37.52668,64.8,39.6,8.9,2,9,9,1985,brick,2.5,True,cosmetic,Trubnaya,Lyublinsko-Dmitrovskaya,46,transport,8.0,15956000,246300,12.0,agency
S000030,2023-11-26,Novo-Peredelkino,ZAO,55.66196,37.33097,88.5,54.4,12.5,3,3,9,2020,monolith,3.0,False,cosmetic,Novye Cheryomushki,Kaluzhsko-Rizhskaya,60,transport,20.84,14052000,158800,15.5,agency
S000031,2020-09-24,Presnensky,CAO,55.74406,37.60355,58.7,32.8,8.8,1,5,9,1960,brick,2.8,True,euro,Kievskaya,Koltsevaya,27,walk,1.54,18561000,316300,6.75,agency
S000032,2020-06-26,Konkovo,YuZAO,55.63174,37.53916,75.5,49.3,8.6,3,9,9,1943,stalin,3.0,True,no_renovation,Yasenevo,Kaluzhsko-Rizhskaya,24,transport,14.52,11520000,152500,6.75,agency
S000033,2024-02-13,Chertanovo Severnoye,YuAO,55.63121,37.62047,61.5,34.5,11.3,2,2,12,2022,monolith,2.5,False,no_renovation,Sevastopolskaya,Serpukhovsko-Timiryazevskaya,10,walk,13.64,13756000,223800,18.5,agency
S000034,2020-07-13,Basmanny,CAO,55.77002,37.68362,43.4,28.0,9.1,1,14,17,1988,panel,2.7,True,cosmetic,Trubnaya,Lyublinsko-Dmitrovskaya,20,transport,4.32,11476000,264500,6.75,agency
S000035,2021-12-05,Voskresenskoye,NAO,55.58187,37.42013,70.0,43.8,11.2,3,3,5,2024,monolith,2.8,True,cosmetic,Yuzhnaya,Serpukhovsko-Timiryazevskaya,58,transport,22.9,7706000,110000,11.0,owner
S000036,2023-10-15,Levoberezhny,SAO,55.84412,37.45871,52.1,34.1,10.0,1,21,25,2015,monolith,2.8,False,euro,Timiryazevskaya,Serpukhovsko-Timiryazevskaya,35,transport,14.26,12194000,234100,15.5,agency
S000037,2024-02-10,Golovinsky,SAO,55.83675,37.51263,77.9,54.3,11.6,2,10,17,1967,khrushchev,2.5,True,euro,Rechnoy Vokzal,Zamoskvoretskaya,20,transport,11.43,15724000,201900,18.5,agency
S000038,2020-07-15,Cheryomushki,YuZAO,55.67736,37.54148,59.9,41.3,12.9,2,1,5,1976,panel,2.5,True,euro,Profsoyuznaya,Kaluzhsko-Rizhskaya,12,walk,9.86,12909000,215500,6.75,owner
S000039,2020-08-23,Strogino,SZAO,55.82233,37.44889,80.3,50.3,11.0,3,4,5,2017,monolith,2.8,True,euro,Strogino,Arbatsko-Pokrovskaya,5,walk,13.17,21101000,262900,6.75,agency
S000040,2021-09-27,Golovinsky,SAO,55.85038,37.46685,71.1,40.0,13.8,3,8,17,2020,modern_panel,2.7,True,no_renovation,Prospekt Vernadskogo,Sokolnicheskaya,79,transport,14.41,10248000,144100,11.0,owner
S000041,2020-08-26,Shcherbinka,NAO,55.49689,37.55953,54.7,30.2,7.3,1,7,17,1977,brick,3.2,False,cosmetic,Mendeleevskaya,Serpukhovsko-Timiryazevskaya,131,transport,28.84,3767000,68900,6.75,agency
S000042,2023-05-08,Severny,SVAO,55.93665,37.572,86.3,55.9,10.7,3,3,9,1974,panel,3.0,True,cosmetic,Polyanka,Serpukhovsko-Timiryazevskaya,96,transport,20.55,11093000,128600,10.0,agency
S000043,2021-08-13,Danilovsky,YuAO,55.68098,37.62312,91.5,52.9,16.0,4,5,5,1962,khrushchev,2.7,True,no_renovation,Borovitskaya,Serpukhovsko-Timiryazevskaya,29,transport,8.11,10044000,109800,11.0,owner
S000044,2022-11-17,Klyonovskoye,TAO,55.27177,37.48075,73.9,41.2,8.4,2,7,9,1958,khrushchev,2.7,True,cosmetic,Dubrovka,Lyublinsko-Dmitrovskaya,212,transport,54.33,3156000,42700,10.0,agency
S000045,2021-09-27,Kokoshkino,NAO,55.65239,37.21681,70.5,47.0,8.4,2,5,9,1986,brick,2.7,True,cosmetic,Belorusskaya,Koltsevaya,114,transport,27.71,5180000,73500,11.0,agency
S000046,2020-12-13,Khoroshyovsky,SAO,55.76675,37.49652,48.5,33.4,9.9,1,8,9,1965,panel,2.8,True,cosmetic,Aleksandrovsky Sad,Filyovskaya,27,transport,7.91,9884000,203800,6.75,owner
S000047,2025-09-03,Desyonovskoye,NAO,55.52631,37.49549,80.1,55.1,10.0,3,14,17,2001,modern_panel,3.0,True,euro,Proletarskaya,Tagansko-Krasnopresnenskaya,110,transport,26.5,10467000,130700,19.5,owner
S000048,2020-03-09,Kokoshkino,NAO,55.65143,37.18332,65.7,37.7,7.8,2,6,17,1995,brick,3.0,True,no_renovation,Komsomolskaya,Koltsevaya,134,transport,29.68,3381000,51500,8.5,owner
S000049,2025-11-05,Nagatino-Sadovniki,YuAO,55.69013,37.67104,117.2,66.7,16.1,5,1,22,2004,monolith,2.7,True,cosmetic,Tulskaya,Serpukhovsko-Timiryazevskaya,22,transport,7.76,25312000,216100,19.5,agency
S000050,2021-06-18,Savyolovsky,SAO,55.79117,37.58491,80.3,51.5,9.8,3,7,9,1968,khrushchev,2.8,False,designer,Arbatskaya (F),Filyovskaya,22,transport,4.71,20065000,249800,11.0,agency
S000051,2025-12-11,Severnoye Tushino,SZAO,55.8296,37.40249,76.8,50.1,13.2,3,3,25,1986,panel,3.0,False,cosmetic,Filyovsky Park,Filyovskaya,50,transport,16.03,12551000,163500,19.5,agency
S000052,2024-09-10,Begovoy,SAO,55.78197,37.58829,83.2,52.9,9.7,3,18,25,1970,khrushchev,2.5,True,euro,Komsomolskaya,Koltsevaya,33,transport,3.73,19162000,230400,18.5,agency
S000053,2023-12-19,Prospekt Vernadskogo,ZAO,55.67404,37.51265,71.8,43.9,13.4,2,8,25,2001,monolith,2.7,True,no_renovation,Prospekt Vernadskogo,Sokolnicheskaya,11,walk,11.17,27594000,384300,15.5,owner
S000054,2020-08-16,Alekseevsky,SVAO,55.81769,37.64913,80.7,47.7,14.6,3,5,9,2013,monolith,2.7,True,cosmetic,Prospekt Mira,Koltsevaya,22,transport,7.31,14938000,185200,6.75,owner
S000055,2021-12-23,Golovinsky,SAO,55.82255,37.48301,81.8,57.1,9.7,3,20,25,1977,panel,2.7,True,no_renovation,Rechnoy Vokzal,Zamoskvoretskaya,19,walk,11.51,12063000,147500,11.0,owner
S000056,2025-05-22,Voykovsky,SAO,55.81729,37.48201,58.1,34.5,7.2,2,2,12,1969,khrushchev,2.7,False,no_renovation,Voykovskaya,Zamoskvoretskaya,7,walk,11.18,10507000,180800,23.5,agency
S000057,2020-05-22,Voskresenskoye,NAO,55.56614,37.42001,57.9,39.2,13.1,1,6,12,1970,brick,2.5,False,euro,Sevastopolskaya,Serpukhovsko-Timiryazevskaya,62,transport,24.38,4842000,83600,6.75,agency
S000058,2022-10-01,Yuzhnoye Tushino,SZAO,55.84939,37.43881,50.0,34.7,12.4,1,4,25,2004,monolith,2.7,True,no_renovation,Perovo,Kalininskaya,105,transport,15.56,9097000,181800,10.0,agency
S000059,2023-05-06,Kotlovka,YuZAO,55.66619,37.63837,26.6,17.9,6.0,1,7,12,1990,panel,2.7,True,cosmetic,Sevastopolskaya,Serpukhovsko-Timiryazevskaya,26,transport,9.81,6422000,241800,10.0,agency
S000060,2022-10-09,Orekhovo-Borisovo Severnoye,YuAO,55.6334,37.69701,64.7,45.2,10.4,2,2,5,1979,panel,2.5,True,cosmetic,Tekstilshchiki,Tagansko-Krasnopresnenskaya,45,transport,14.22,7269000,112300,10.0,agency
S000061,2020-06-17,Biryulyovo Zapadnoye,YuAO,55.58737,37.63831,82.8,47.7,15.8,4,11,22,1995,panel,3.0,True,designer,Novye Cheryomushki,Kaluzhsko-Rizhskaya,48,transport,18.55,10819000,130700,6.75,agency
S000062,2024-09-02,Solntsevo,ZAO,55.65508,37.40406,67.8,44.6,11.3,2,9,25,1945,stalin,3.5,True,no_renovation,Tyoply Stan,Kaluzhsko-Rizhskaya,36,transport,17.47,14202000,209400,18.5,owner
S000063,2022-01-24,Mosrentgen,NAO,55.62079,37.50438,46.0,31.2,6.9,1,3,17,1957,brick,2.5,True,euro,Tyoply Stan,Kaluzhsko-Rizhskaya,9,walk,16.5,8293000,180300,22.5,agency
S000064,2024-09-18,Novo-Peredelkino,ZAO,55.67367,37.35719,73.4,51.1,11.5,2,5,17,1981,panel,3.0,True,cosmetic,Novye Cheryomushki,Kaluzhsko-Rizhskaya,57,transport,18.77,12082000,164700,18.5,agency
S000065,2024-01-01,Sokolniki,VAO,55.77547,37.7075,58.1,39.9,12.4,2,21,22,1972,khrushchev,2.8,False,cosmetic,Sokolniki,Sokolnicheskaya,6,walk,5.93,14325000,246400,18.5,agency
S000066,2022-04-17,Sviblovo,SVAO,55.83962,37.64087,46.3,31.5,7.9,1,3,5,1977,brick,3.0,True,euro,Yuzhnaya,Serpukhovsko-Timiryazevskaya,114,transport,9.61,7451000,160800,12.0,owner
S000067,2022-09-04,Krasnoselsky,CAO,55.76048,37.66976,60.3,42.0,11.6,2,3,5,1998,brick,3.0,True,no_renovation,Nagornaya,Serpukhovsko-Timiryazevskaya,55,transport,3.15,16915000,280500,12.0,agency
S000068,2025-01-14,Chertanovo Severnoye,YuAO,55.63683,37.62161,119.8,67.6,16.7,5,17,25,1968,brick,2.7,True,euro,Sokolniki,Sokolnicheskaya,70,transport,13.02,21163000,176600,23.5,agency
S000069,2022-01-13,Metrogorodok,VAO,55.8284,37.74706,77.8,48.5,11.9,3,3,5,1992,panel,2.5,True,no_renovation,Semyonovskaya,Arbatsko-Pokrovskaya,27,transport,11.44,8822000,113300,22.5,agency
S000070,2024-09-21,Kurkino,SZAO,55.89145,37.3934,48.0,32.6,7.3,1,10,12,2001,modern_panel,2.7,True,cosmetic,Strogino,Arbatsko-Pokrovskaya,42,transport,20.87,11002000,229000,18.5,agency
S000071,2021-05-21,Perovo,VAO,55.74426,37.79856,50.1,28.5,10.7,1,2,9,2004,modern_panel,2.7,False,no_renovation,Perovo,Kalininskaya,2,walk,11.18,9916000,197900,11.0,agency
S000072,2022-11-16,Marushkinskoye,NAO,55.56821,37.20065,47.1,27.9,6.0,1,4,17,2009,monolith,2.8,True,no_renovation,Molodyozhnaya,Arbatsko-Pokrovskaya,91,transport,33.48,3358000,71300,10.0,agency
S000073,2025-03-25,Voykovsky,SAO,55.81621,37.51158,66.2,39.1,12.0,2,5,9,1966,khrushchev,2.5,True,cosmetic,Voykovskaya,Zamoskvoretskaya,9,walk,9.73,16095000,243200,23.5,agency
S000074,2025-04-26,Mosrentgen,NAO,55.61577,37.48529,65.5,41.8,6.4,1,16,17,2004,brick,2.7,True,no_renovation,Tyoply Stan,Kaluzhsko-Rizhskaya,8,walk,17.55,9843000,150300,23.5,owner
S000075,2022-04-05,Nagorny,YuAO,55.6859,37.6152,57.1,33.2,9.0,1,18,25,1968,panel,2.5,True,no_renovation,Sevastopolskaya,Serpukhovsko-Timiryazevskaya,24,transport,7.57,7630000,133600,12.0,agency
S000076,2020-05-24,Nagorny,YuAO,55.66049,37.61648,99.5,66.7,12.6,4,9,25,2013,monolith,3.2,True,cosmetic,Nagornaya,Serpukhovsko-Timiryazevskaya,6,walk,10.39,21240000,213500,6.75,owner
S000077,2025-06-24,Strogino,SZAO,55.8212,37.38866,78.5,48.0,13.6,2,7,17,2023,modern_panel,2.7,True,cosmetic,Strogino,Arbatsko-Pokrovskaya,4,walk,16.33,24488000,312100,23.5,owner
S000078,2020-06-11,Chertanovo Severnoye,YuAO,55.6578,37.61968,46.1,30.4,9.7,1,4,9,2018,monolith,2.7,False,designer,Kantemirovskaya,Zamoskvoretskaya,22,transport,10.69,9714000,210500,6.75,agency
S000079,2025-11-05,Voykovsky,SAO,55.82073,37.50951,65.2,36.2,15.1,2,2,17,1958,khrushchev,3.0,True,cosmetic,Voykovskaya,Zamoskvoretskaya,9,walk,10.18,17039000,261400,19.5,agency
S000080,2020-05-14,Moskovsky,NAO,55.57399,37.36506,46.8,29.3,10.1,1,7,25,2019,modern_panel,2.5,True,euro,Rechnoy Vokzal,Zamoskvoretskaya,123,transport,25.64,4076000,87000,6.75,agency
S000081,2023-11-04,Solntsevo,ZAO,55.65551,37.36527,42.8,26.2,8.0,2,5,22,2001,brick,2.7,False,no_renovation,Troparyovo,Sokolnicheskaya,27,transport,19.39,6696000,156500,15.5,agency
S000082,2024-12-31,Sokol,SAO,55.80994,37.54247,57.7,36.3,6.0,1,4,5,1980,panel,2.5,False,cosmetic,Voykovskaya,Zamoskvoretskaya,21,transport,7.93,16708000,289400,23.5,agency
S000083,2022-09-18,Golyanovo,VAO,55.82575,37.77475,68.5,43.2,8.4,2,17,25,1958,khrushchev,2.7,False,no_renovation,Nagatinskaya,Serpukhovsko-Timiryazevskaya,75,transport,12.51,7732000,112900,12.0,owner
S000084,2024-07-26,Tverskoy,CAO,55.78594,37.63042,91.7,55.9,13.1,4,3,5,2007,modern_panel,2.5,True,designer,Teatralnaya,Zamoskvoretskaya,18,transport,3.61,72641000,792000,18.5,agency
S000085,2025-12-20,Golyanovo,VAO,55.79797,37.7997,52.9,33.4,9.9,1,5,22,1972,khrushchev,2.7,True,cosmetic,Kurskaya,Koltsevaya,51,transport,12.21,6803000,128600,19.5,agency
S000086,2021-03-23,Yakimanka,CAO,55.72911,37.60533,60.7,34.8,6.3,2,24,25,1973,brick,3.0,False,cosmetic,Borovitskaya,Serpukhovsko-Timiryazevskaya,25,walk,2.92,24721000,407500,6.75,agency
S000087,2023-05-26,Maryina Roshcha,SVAO,55.80365,37.6105,69.1,46.3,16.6,2,14,22,2007,brick,2.5,True,cosmetic,Taganskaya,Koltsevaya,27,transport,5.57,15693000,227100,10.0,owner
S000088,2021-03-04,Orekhovo-Borisovo Yuzhnoye,YuAO,55.615,37.71408,71.6,41.8,12.6,2,6,9,2019,modern_panel,2.5,True,cosmetic,Yasenevo,Kaluzhsko-Rizhskaya,51,transport,16.51,6999000,97800,6.75,agency
S000089,2022-09-01,Shcherbinka,NAO,55.50712,37.55911,38.9,22.7,9.1,1,3,5,2024,monolith,3.0,True,no_renovation,Ulitsa Akademika Yangelya,Serpukhovsko-Timiryazevskaya,55,transport,27.71,3620000,93100,12.0,agency
S000090,2024-11-15,Severnoye Izmaylovo,VAO,55.79487,37.77318,67.9,44.2,9.2,2,6,9,2015,monolith,2.7,True,cosmetic,Pervomayskaya,Arbatsko-Pokrovskaya,28,walk,10.56,12688000,187000,23.5,agency
S000091,2025-08-29,Bibirevo,SVAO,55.87529,37.61781,66.8,46.3,8.5,1,4,9,2007,monolith,3.0,False,euro,Pyatnitskoye Shosse,Arbatsko-Pokrovskaya,70,transport,13.5,12997000,194700,19.5,owner
S000092,2022-06-02,Molzhaninovsky,SAO,55.9699,37.42095,56.4,31.6,8.2,2,3,22,1959,khrushchev,2.7,False,cosmetic,Profsoyuznaya,Kaluzhsko-Rizhskaya,136,transport,27.06,4997000,88600,12.0,owner
S000093,2024-10-03,Filimonkovskoye,NAO,55.55822,37.34818,66.1,37.6,12.4,2,8,9,1972,brick,2.8,False,cosmetic,Yasenevo,Kaluzhsko-Rizhskaya,48,transport,27.68,6229000,94300,23.5,agency
S000094,2023-03-11,Lomonosovsky,YuZAO,55.68049,37.55749,74.6,41.2,6.0,2,10,12,2011,monolith,2.8,False,no_renovation,Universitet,Sokolnicheskaya,10,walk,9.08,24150000,323800,10.0,agency
S000095,2025-08-18,Dmitrovsky,SAO,55.86931,37.52853,66.9,39.5,14.4,2,11,25,2008,monolith,2.7,True,no_renovation,Ploshchad Revolyutsii,Arbatsko-Pokrovskaya,60,transport,14.07,9179000,137200,19.5,owner
S000096,2024-09-05,Zelenograd,ZelAO,55.99576,37.16543,78.8,54.2,12.8,3,3,17,2010,modern_panel,2.7,False,cosmetic,Mayakovskaya,Zamoskvoretskaya,143,transport,39.12,7111000,90200,18.5,agency
S000097,2022-05-24,Akademichesky,YuZAO,55.68557,37.54482,69.9,38.5,15.1,3,23,25,1952,brick,2.7,False,no_renovation,Oktyabrskaya,Koltsevaya,24,transport,8.97,14082000,201500,12.0,agency
S000098,2022-10-02,Khoroshyovsky,SAO,55.79259,37.55276,78.6,51.4,13.4,3,6,12,2006,monolith,2.7,True,euro,Delovoy Tsentr,MCC,22,transport,6.05,24604000,313000,10.0,agency
S000099,2021-10-30,Lianozovo,SVAO,55.88068,37.58583,78.3,52.5,13.2,3,2,9,1972,panel,3.0,True,cosmetic,Begovaya,Tagansko-Krasnopresnenskaya,60,transport,14.27,9364000,119700,11.0,agency
S000100,2021-01-06,Savyolovsky,SAO,55.7984,37.60052,104.1,70.5,18.0,4,2,5,2013,modern_panel,2.8,False,no_renovation,Sokol,Zamoskvoretskaya,22,transport,5.11,19719000,189500,6.75,agency
S000101,2023-05-03,Khoroshyovsky,SAO,55.77067,37.52088,84.0,55.7,11.3,3,5,5,2005,monolith,2.7,True,cosmetic,Dostoevskaya,Lyublinsko-Dmitrovskaya,28,transport,6.52,20741000,246800,10.0,agency
S000102,2025-01-15,Troparyovo-Nikulino,ZAO,55.66069,37.47104,65.9,43.4,12.8,3,5,25,1971,brick,2.7,False,no_renovation,Teatralnaya,Zamoskvoretskaya,65,transport,13.98,13342000,202400,23.5,agency
S000103,2026-03-14,Kotlovka,YuZAO,55.66555,37.62011,83.6,55.6,8.5,3,6,17,2016,modern_panel,2.5,True,euro,Kantemirovskaya,Zamoskvoretskaya,28,transport,9.82,21420000,256200,19.5,owner
S000104,2025-04-28,Vostochnoye Izmaylovo,VAO,55.8235,37.78872,90.7,60.1,13.6,4,9,22,1969,khrushchev,2.7,True,euro,VDNKh,Kaluzhsko-Rizhskaya,55,transport,13.04,12981000,143100,23.5,agency
S000105,2024-01-08,Voykovsky,SAO,55.81864,37.48677,81.9,50.9,11.4,3,6,17,2005,modern_panel,3.0,True,cosmetic,Trubnaya,Lyublinsko-Dmitrovskaya,43,transport,11.05,14620000,178500,18.5,owner
S000106,2021-11-03,Shcherbinka,NAO,55.49991,37.56045,38.8,21.8,14.3,1,2,5,1981,panel,2.8,False,euro,Sevastopolskaya,Serpukhovsko-Timiryazevskaya,77,transport,28.5,3313000,85300,11.0,agency
S000107,2022-03-10,Novo-Peredelkino,ZAO,55.65708,37.35065,63.5,42.5,11.3,2,7,9,2006,modern_panel,2.7,True,euro,Novye Cheryomushki,Kaluzhsko-Rizhskaya,60,transport,20.06,9586000,151000,22.5,agency
S000108,2020-09-14,Babushkinsky,SVAO,55.85331,37.64607,73.8,46.7,15.3,2,6,17,1957,stalin,3.0,True,euro,Sapyornoye Pole,Bolshaya Koltsevaya,50,transport,11.17,13489000,182800,6.75,agency
S000109,2025-04-07,Begovoy,SAO,55.77254,37.58032,47.5,30.0,9.7,1,9,12,2002,monolith,3.0,True,cosmetic,Begovaya,Tagansko-Krasnopresnenskaya,20,transport,3.27,12129000,255300,23.5,agency
S000110,2023-02-14,Veshnyaki,VAO,55.72809,37.81011,73.9,45.6,11.8,2,2,9,1967,panel,2.7,False,euro,Lubyanka,Sokolnicheskaya,51,transport,12.19,10152000,137400,10.0,agency
S000111,2021-03-27,Novofyodorovskoye,TAO,55.33929,36.93487,61.7,41.0,6.2,2,9,25,2003,monolith,3.0,False,cosmetic,Mendeleevskaya,Serpukhovsko-Timiryazevskaya,267,transport,63.15,2808000,45500,6.75,agency
S000112,2026-04-07,Basmanny,CAO,55.75489,37.66952,62.9,42.7,12.9,2,4,9,2013,modern_panel,2.7,True,designer,Turgenevskaya,Kaluzhsko-Rizhskaya,30,walk,3.05,31475000,500300,19.5,agency
S000113,2021-02-07,Ostankinsky,SVAO,55.82439,37.60587,62.9,41.7,8.7,2,5,9,1978,panel,3.0,True,cosmetic,Begovaya,Tagansko-Krasnopresnenskaya,33,transport,7.89,9859000,156700,6.75,owner
S000114,2024-02-24,Marfino,SVAO,55.85895,37.60743,55.4,30.9,7.8,1,1,5,1991,panel,2.8,True,cosmetic,Ulitsa Podbelskogo,Sokolnicheskaya,41,transport,11.71,7818000,141200,18.5,agency
S000115,2022-02-18,Basmanny,CAO,55.74589,37.68665,57.0,37.0,8.0,1,10,17,2021,modern_panel,2.7,True,cosmetic,Park Kultury,Koltsevaya,29,transport,4.22,17229000,302400,22.5,owner
S000116,2022-10-11,Yaroslavsky,SVAO,55.86702,37.68108,56.5,37.7,7.1,2,1,17,2002,monolith,2.8,True,no_renovation,Preobrazhenskaya Ploshchad,Sokolnicheskaya,37,transport,13.13,6638000,117500,10.0,agency
S000117,2022-10-04,Timiryazevsky,SAO,55.82262,37.51349,94.0,64.7,11.1,4,2,5,1968,khrushchev,3.0,False,cosmetic,Timiryazevskaya,Serpukhovsko-Timiryazevskaya,11,walk,10.17,14812000,157600,10.0,agency
